empresa_key,empresa_nome,ticker_b3,setor,moeda,fonte,data_referencia,ano,trimestre,periodo,caixa_equivalentes,ativo_total,divida_cp,divida_lp,divida_total,divida_liquida,patrimonio_liquido,receita_liquida,ebit,ebitda,depreciacao_amort,ebitda_origem,lucro_liquido,despesa_financeira,divida_ebitda,margem_ebitda_pct,margem_liquida_pct,roe_pct,roa_pct,nopat,capital_investido,roic_pct,custo_implicito_divida_pct,selic_meta_pct,ipca_acum_12m_pct,cambio_brl_usd,juros_real_pct,regime_selic,choque_periodo,dado_revisado,alerta_nota
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2011-03-31,2011,1,2011-Q1,,,,,,,,,,,,indisponivel,,,,,,,,,,,,11.75,6.3,1.6673,11.2133,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2011-06-30,2011,2,2011-Q2,,,,,,,,,,,,indisponivel,,,,,,,,,,,,12.25,6.71,1.5962,11.92,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2011-09-30,2011,3,2011-Q3,,,,,,,,,,,,indisponivel,,,,,,,,,,,,12.0,7.31,1.6357,12.1933,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2011-12-31,2011,4,2011-Q4,,,,,,,,,,,,indisponivel,,,,,,,,,,,,11.0,6.5,1.8012,11.3333,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2012-03-31,2012,1,2012-Q1,,,,,,,,,,,,indisponivel,,,,,,,,,,,,9.75,5.24,1.7701,10.3067,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2012-06-30,2012,2,2012-Q2,,,,,,,,,,,,indisponivel,,,,,,,,,,,,8.5,4.92,1.9641,8.87,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2012-09-30,2012,3,2012-Q3,,,,,,,,,,,,indisponivel,,,,,,,,,,,,7.5,5.28,2.0288,7.77,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2012-12-31,2012,4,2012-Q4,,,,,,,,,,,,indisponivel,,,,,,,,,,,,7.25,5.84,2.0576,7.1767,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2013-06-30,2013,2,2013-Q2,8974320.0,486133.0,264525.0,720166.0,984691.0,-7989629.0,0.0,14061117.0,5411598.0,5517531.0,105933.0,EBIT+D&A(DFC),1141740.0,600156.0,0.18,39.24,8.12,,234.86,3571654.68,984691.0,362.72,60.95,8.0,6.7,2.0673,7.5267,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2013-09-30,2013,3,2013-Q3,8974320.0,0.0,284922.0,727018.0,1011940.0,-7962380.0,0.0,22097139.0,8680534.0,8834417.0,153883.0,EBIT+D&A(DFC),2289706.0,1150867.0,0.11,39.98,10.36,,,5729152.44,1011940.0,566.16,113.73,9.0,5.86,2.288,8.5267,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2014-03-31,2014,1,2014-Q1,11538241.0,0.0,380354.0,444215.0,824569.0,-10713672.0,0.0,7832000.0,3112439.0,3161018.0,48579.0,EBIT+D&A(DFC),2546639.0,400527.0,0.26,40.36,32.52,,,2054209.74,824569.0,249.13,48.57,10.75,6.15,2.3652,10.4167,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2014-06-30,2014,2,2014-Q2,11538241.0,0.0,363965.0,355272.0,719237.0,-10819004.0,0.0,15402220.0,5814225.0,5888603.0,74378.0,EBIT+D&A(DFC),2166882.0,794136.0,0.12,38.23,14.07,,,3837388.5,719237.0,533.54,110.41,11.0,6.52,2.2296,10.89,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2014-09-30,2014,3,2014-Q3,11538241.0,609621.0,284516.0,403699.0,688215.0,-10850026.0,53663683.0,23946479.0,9500744.0,9627593.0,126849.0,EBIT+D&A(DFC),2813598.0,1477116.0,0.07,40.2,11.75,5.24,461.53,6270491.04,54351898.0,11.54,214.63,11.0,6.75,2.2745,10.9,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2015-03-31,2015,1,2015-Q1,9722067.0,0.0,406398.0,198695.0,605093.0,-9116974.0,0.0,9045072.0,3517478.0,3556759.0,39281.0,EBIT+D&A(DFC),2810663.0,576388.0,0.17,39.32,31.07,,,2321535.48,605093.0,383.67,95.26,12.75,8.13,2.8702,12.1833,Selic_Mod_8a13pct,Recessao_2015-16,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2015-06-30,2015,2,2015-Q2,9722067.0,0.0,397262.0,159678.0,556940.0,-9165127.0,0.0,17222505.0,6287057.0,6367885.0,80828.0,EBIT+D&A(DFC),2508656.0,1150259.0,0.09,36.97,14.57,,,4149457.62,556940.0,745.05,206.53,13.75,8.89,3.0729,13.1367,Selic_Alta_>=13pct,Recessao_2015-16,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2015-09-30,2015,3,2015-Q3,9722067.0,0.0,316364.0,456061.0,772425.0,-8949642.0,0.0,25846901.0,9780480.0,9866174.0,85694.0,EBIT+D&A(DFC),2950732.0,1716435.0,0.08,38.17,11.42,,,6455116.8,772425.0,835.69,222.21,14.25,9.49,3.538,13.9967,Selic_Alta_>=13pct,Recessao_2015-16,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2016-03-31,2016,1,2016-Q1,13620161.0,0.0,1140752.0,814337.0,1955089.0,-11665072.0,0.0,10768793.0,4396022.0,4444023.0,48001.0,EBIT+D&A(DFC),2766865.0,771945.0,0.44,41.27,25.69,,,2901374.52,1955089.0,148.4,39.48,14.25,9.39,3.9022,14.15,Selic_Alta_>=13pct,Recessao_2015-16,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2016-06-30,2016,2,2016-Q2,13620161.0,0.0,1175902.0,724574.0,1900476.0,-11719685.0,53662811.0,20678795.0,7519088.0,7843412.0,324324.0,EBIT+D&A(DFC),2046154.0,1364195.0,0.24,37.93,9.89,3.81,,4962598.08,55563287.0,8.93,71.78,14.25,8.84,3.5076,14.15,Selic_Alta_>=13pct,Recessao_2015-16,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2016-09-30,2016,3,2016-Q3,13620161.0,0.0,1752730.0,719871.0,2472601.0,-11147560.0,53662811.0,31423915.0,11737366.0,12114815.0,377449.0,EBIT+D&A(DFC),3061232.0,1997115.0,0.2,38.55,9.74,5.7,,7746661.56,56135412.0,13.8,80.77,14.25,8.48,3.246,14.15,Selic_Alta_>=13pct,Recessao_2015-16,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2017-03-31,2017,1,2017-Q1,7876849.0,0.0,2817923.0,554968.0,3372891.0,-4503958.0,0.0,11565098.0,4401681.0,4492522.0,90841.0,EBIT+D&A(DFC),2199135.0,1493457.0,0.75,38.85,19.02,,,2905109.46,3372891.0,86.13,44.28,12.25,4.57,3.1451,12.7133,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2017-06-30,2017,2,2017-Q2,7876849.0,0.0,2964082.0,579954.0,3544036.0,-4332813.0,0.0,21942302.0,7700668.0,7850834.0,150166.0,EBIT+D&A(DFC),2013148.0,2529448.0,0.45,35.78,9.17,,,5082440.88,3544036.0,143.41,71.37,10.25,3.0,3.2174,10.9633,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2017-09-30,2017,3,2017-Q3,7876849.0,0.0,1619409.0,550145.0,2169554.0,-5707295.0,0.0,32425090.0,10828122.0,11044929.0,216807.0,EBIT+D&A(DFC),223.0,3389909.0,0.2,34.06,0.0,,,7146560.52,2169554.0,329.4,156.25,8.25,2.54,3.164,9.17,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2018-03-31,2018,1,2018-Q1,10354527.0,0.0,2949283.0,496995.0,3446278.0,-6908249.0,0.0,11241805.0,3500939.0,3550053.0,49114.0,EBIT+D&A(DFC),2515962.0,996258.0,0.97,31.58,22.38,,,2310619.74,3446278.0,67.05,28.91,6.5,2.68,3.2433,6.7333,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2018-06-30,2018,2,2018-Q2,10354527.0,0.0,3380812.0,572172.0,3952984.0,-6401543.0,0.0,21509758.0,6545053.0,6618347.0,73294.0,EBIT+D&A(DFC),2317152.0,1817950.0,0.6,30.77,10.77,,,4319734.98,3952984.0,109.28,45.99,6.5,4.39,3.6056,6.4,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2018-09-30,2018,3,2018-Q3,10354527.0,0.0,3451063.0,681771.0,4132834.0,-6221693.0,0.0,32872061.0,10154288.0,10319484.0,165196.0,EBIT+D&A(DFC),2831159.0,2679013.0,0.4,31.39,8.61,,,6701830.08,4132834.0,162.16,64.82,6.5,4.53,3.9505,6.4,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2019-03-31,2019,1,2019-Q1,11463498.0,0.0,2145620.0,459474.0,2605094.0,-8858404.0,0.0,11640219.0,3801334.0,3847562.0,46228.0,EBIT+D&A(DFC),2661850.0,974763.0,0.68,33.05,22.87,,,2508880.44,2605094.0,96.31,37.42,6.5,4.58,3.7684,6.4,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2019-06-30,2019,2,2019-Q2,11463498.0,0.0,2147185.0,465699.0,2612884.0,-8850614.0,0.0,23149764.0,7487012.0,7558264.0,71252.0,EBIT+D&A(DFC),2520733.0,2174759.0,0.35,32.65,10.89,,,4941427.92,2612884.0,189.12,83.23,6.5,3.37,3.9221,6.4,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2019-09-30,2019,3,2019-Q3,11463498.0,0.0,1311336.0,532985.0,1844321.0,-9619177.0,0.0,34213507.0,10891996.0,11023350.0,131354.0,EBIT+D&A(DFC),2497677.0,3080783.0,0.17,32.22,7.3,,,7188717.36,1844321.0,389.78,167.04,5.5,2.89,3.9684,6.0033,Selic_Baixa_4a8pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2020-03-31,2020,1,2020-Q1,11900666.0,0.0,281368.0,678119.0,959487.0,-10941179.0,0.0,12640126.0,4053597.0,4068409.0,14812.0,EBIT+D&A(DFC),1091784.0,959761.0,0.24,32.19,8.64,,,2675374.02,959487.0,278.83,100.03,3.75,3.3,4.4657,4.18,Selic_Minima_<4pct,Pandemia_2020,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2020-06-30,2020,2,2020-Q2,11900666.0,0.0,1443427.0,759935.0,2203362.0,-9697304.0,0.0,24785259.0,7601045.0,7683530.0,82485.0,EBIT+D&A(DFC),1226799.0,1777101.0,0.29,31.0,4.95,,,5016689.7,2203362.0,227.68,80.65,2.25,2.13,5.3854,3.08,Selic_Minima_<4pct,Pandemia_2020,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2020-09-30,2020,3,2020-Q3,11900666.0,0.0,1662812.0,739829.0,2402641.0,-9498025.0,0.0,36742911.0,10733260.0,10872793.0,139533.0,EBIT+D&A(DFC),2274801.0,2950104.0,0.22,29.59,6.19,,,7083951.6,2402641.0,294.84,122.79,2.0,3.14,5.3772,1.9967,Selic_Minima_<4pct,Pandemia_2020,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2021-03-31,2021,1,2021-Q1,17090335.0,0.0,257816.0,443773.0,701589.0,-16388746.0,0.0,12602597.0,3027787.0,3047160.0,19373.0,EBIT+D&A(DFC),2625412.0,1782643.0,0.23,24.18,20.83,,,1998339.42,701589.0,284.83,254.09,2.75,6.1,5.4833,2.01,Selic_Minima_<4pct,Espiral_Inflac_2021-22,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2021-06-30,2021,2,2021-Q2,17090335.0,0.0,179361.0,380283.0,559644.0,-16530691.0,0.0,24217927.0,4929695.0,5037975.0,108280.0,EBIT+D&A(DFC),2885782.0,2812984.0,0.11,20.8,11.92,,,3253598.7,559644.0,581.37,502.64,4.25,8.35,5.2907,3.2333,Selic_Baixa_4a8pct,Espiral_Inflac_2021-22,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2021-09-30,2021,3,2021-Q3,17090335.0,0.0,144783.0,475344.0,620127.0,-16470208.0,0.0,39822425.0,8505511.0,8671583.0,166072.0,EBIT+D&A(DFC),3552532.0,4327237.0,0.07,21.78,8.92,,,5613637.26,620127.0,905.24,697.8,6.25,10.25,5.2286,4.8633,Selic_Baixa_4a8pct,Espiral_Inflac_2021-22,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2022-03-31,2022,1,2022-Q1,16627698.0,0.0,110670.0,488541.0,599211.0,-16028487.0,0.0,16639761.0,3979708.0,4005945.0,26237.0,EBIT+D&A(DFC),3412772.0,1444395.0,0.15,24.07,20.51,,,2626607.28,599211.0,438.34,241.05,11.75,11.3,5.2299,10.2633,Selic_Mod_8a13pct,Espiral_Inflac_2021-22,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2022-06-30,2022,2,2022-Q2,16627698.0,0.0,175995.0,588636.0,764631.0,-15863067.0,0.0,32350902.0,7874091.0,7967528.0,93437.0,EBIT+D&A(DFC),2969744.0,2405939.0,0.1,24.63,9.18,,,5196900.06,764631.0,679.66,314.65,13.25,11.89,4.9266,12.35,Selic_Alta_>=13pct,Espiral_Inflac_2021-22,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2022-09-30,2022,3,2022-Q3,16627698.0,0.0,152839.0,582861.0,735700.0,-15891998.0,0.0,50843511.0,11872790.0,12016385.0,143595.0,EBIT+D&A(DFC),3108556.0,3778292.0,0.06,23.63,6.11,,,7836041.4,735700.0,1065.11,513.56,13.75,7.17,5.2462,13.46,Selic_Alta_>=13pct,Espiral_Inflac_2021-22,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2023-03-31,2023,1,2023-Q1,14926435.0,0.0,209248.0,735752.0,945000.0,-13981435.0,0.0,18439152.0,4162327.0,4172765.0,10438.0,EBIT+D&A(DFC),3699575.0,1623093.0,0.23,22.63,20.06,,,2747135.82,945000.0,290.7,171.76,13.75,4.65,5.1963,13.65,Selic_Alta_>=13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2023-06-30,2023,2,2023-Q2,14926435.0,0.0,207129.0,666303.0,873432.0,-14053003.0,0.0,36428147.0,8196411.0,8246594.0,50183.0,EBIT+D&A(DFC),2502974.0,3452558.0,0.11,22.64,6.87,,,5409631.26,873432.0,619.35,395.29,13.75,3.16,4.9485,13.65,Selic_Alta_>=13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2023-09-30,2023,3,2023-Q3,14926435.0,0.0,196601.0,684856.0,881457.0,-14044978.0,0.0,57015789.0,12251378.0,12400677.0,149299.0,EBIT+D&A(DFC),3911740.0,5791307.0,0.07,21.75,6.86,,,8085909.48,881457.0,917.33,657.02,12.75,5.19,4.8803,13.27,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2024-03-31,2024,1,2024-Q1,16059003.0,0.0,657156.0,587559.0,1244715.0,-14814288.0,0.0,20531743.0,4875526.0,4899539.0,24013.0,EBIT+D&A(DFC),3700276.0,1012469.0,0.25,23.86,18.02,,,3217847.16,1244715.0,258.52,81.34,10.75,3.93,4.9515,11.2667,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2024-06-30,2024,2,2024-Q2,16059003.0,0.0,285578.0,664660.0,950238.0,-15108765.0,0.0,39429857.0,8320943.0,8393028.0,72085.0,EBIT+D&A(DFC),2396309.0,905076.0,0.11,21.29,6.08,,,5491822.38,950238.0,577.94,95.25,10.5,4.23,5.2129,10.5033,Selic_Mod_8a13pct,Periodo_Normal,False,
AMBEV,Ambev S.A.,ABEV3,Bebidas,BRL,CVM_ITR,2024-09-30,2024,3,2024-Q3,16059003.0,0.0,276554.0,603820.0,880374.0,-15178629.0,0.0,59747622.0,13218521.0,13325822.0,107301.0,EBIT+D&A(DFC),3460273.0,4456875.0,0.07,22.3,5.79,,,8724223.86,880374.0,990.97,506.25,10.75,4.42,5.5454,10.4333,Selic_Mod_8a13pct,Periodo_Normal,False,
