Date,Year,Month,Unemployment_Rate,Real_Min_Wage_BRL,GDP_USD
2014-01,2014,1,6.5,1426.27508336628,2456.055
2014-02,2014,2,6.8,1417.20397814538,2456.055
2014-03,2014,3,7.2,1405.67670012262,2456.055
2014-04,2014,4,7.2,1394.79842398712,2456.055
2014-05,2014,5,7.0,1386.48057127233,2456.055
2014-06,2014,6,6.9,1382.88345490594,2456.055
2014-07,2014,7,7.0,1381.08849826772,2456.055
2014-08,2014,8,7.0,1378.60565774327,2456.055
2014-09,2014,9,6.8,1371.88550537425,2456.055
2014-10,2014,10,6.7,1366.69241396726,2456.055
2014-11,2014,11,6.6,1359.4864744754,2456.055
2014-12,2014,12,6.6,1351.10958979738,2456.055
2015-01,2015,1,6.9,1449.10032074633,1800.046
2015-02,2015,2,7.5,1432.48037150226,1800.046
2015-03,2015,3,8.0,1411.17428580643,1800.046
2015-04,2015,4,8.1,1401.22652833434,1800.046
2015-05,2015,5,8.2,1387.48835997889,1800.046
2015-06,2015,6,8.4,1376.88891885575,1800.046
2015-07,2015,7,8.6,1368.94787907499,1800.046
2015-08,2015,8,8.8,1365.53341238777,1800.046
2015-09,2015,9,9.0,1358.60466065235,1800.046
2015-10,2015,10,9.1,1348.22368154649,1800.046
2015-11,2015,11,9.1,1333.42209646526,1800.046
2015-12,2015,12,9.1,1321.52822736343,1800.046
2016-01,2016,1,9.6,1453.86490995059,1796.622
2016-02,2016,2,10.3,1440.18457198792,1796.622
2016-03,2016,3,11.0,1433.87310955367,1796.622
2016-04,2016,4,11.3,1424.75666872835,1796.622
2016-05,2016,5,11.3,1410.92912898669,1796.622
2016-06,2016,6,11.4,1404.3288024402,1796.622
2016-07,2016,7,11.7,1395.39800771785,1796.622
2016-08,2016,8,11.9,1391.08537408603,1796.622
2016-09,2016,9,11.9,1389.97466502778,1796.622
2016-10,2016,10,11.9,1387.61501048592,1796.622
2016-11,2016,11,12.0,1386.64472310782,1796.622
2016-12,2016,12,12.1,1384.70541088654,1796.622
2017-01,2017,1,12.7,1468.23036845489,2063.519
2017-02,2017,2,13.3,1464.714366716,2063.519
2017-03,2017,3,13.9,1460.04077076018,2063.519
2017-04,2017,4,13.7,1458.87410656173,2063.519
2017-05,2017,5,13.4,1453.63985608611,2063.519
2017-06,2017,6,13.1,1458.01273342273,2063.519
2017-07,2017,7,12.9,1455.53939725743,2063.519
2017-08,2017,8,12.7,1455.97577194206,2063.519
2017-09,2017,9,12.5,1456.26683379012,2063.519
2017-10,2017,10,12.3,1450.89806803697,2063.519
2017-11,2017,11,12.1,1448.29040685191,2063.519
2017-12,2017,12,11.9,1444.53392478961,2063.519
