empresa_key,empresa_nome,ticker_yahoo,ticker_b3,moeda,setor,data_referencia,ano,mes,trimestre,periodo,preco_fechamento,volume_medio,market_cap_bi,pl_ratio,ev_ebitda,cambio_brl_usd,choque_periodo
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-01-01,2011,1,1,2011-Q1,3.9995334148406982,10675460.0,62.284,15.989899,8.52,1.6734,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-02-01,2011,2,1,2011-Q1,3.944758653640747,9509798.0,61.431,15.989899,8.52,1.6612,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-03-01,2011,3,1,2011-Q1,4.086960315704346,25111023.0,63.645,15.989899,8.52,1.6287,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-04-01,2011,4,2,2011-Q2,4.507596492767334,9285902.0,70.195,15.989899,8.52,1.5733,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-05-01,2011,5,2,2011-Q2,4.396209716796875,8436020.0,68.461,15.989899,8.52,1.5799,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-06-01,2011,6,2,2011-Q2,4.597203254699707,14335906.0,71.591,15.989899,8.52,1.5611,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-07-01,2011,7,3,2011-Q3,4.041261672973633,9613802.0,62.933,15.989899,8.52,1.5563,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-08-01,2011,8,3,2011-Q3,4.913503170013428,23328122.0,76.516,15.989899,8.52,1.5872,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-09-01,2011,9,3,2011-Q3,4.96641731262207,31470755.0,77.34,15.989899,8.52,1.8544,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-10-01,2011,10,4,2011-Q4,5.006374359130859,21483350.0,77.963,15.989899,8.52,1.6885,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-11-01,2011,11,4,2011-Q4,5.441688537597656,17860843.0,84.742,15.989899,8.52,1.8109,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2011-12-01,2011,12,4,2011-Q4,5.990245342254639,17085308.0,93.284,15.989899,8.52,1.8758,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2012-01-01,2012,1,1,2012-Q1,5.704996585845947,19891247.0,88.842,15.989899,8.52,1.7391,Periodo_Normal
AMBEV,Ambev S.A.,ABEV3.SA,ABEV3,BRL,Bebidas,2012-02-01,2012,2,1,2012-Q1,6.376429080963135,25740291.0,99.298,15.989899,8.52,1.7092,Periodo_Normal
