empresa_key,empresa_nome,ticker_b3,setor,data_referencia,ano,trimestre,periodo,divida_total,divida_liquida,caixa_equivalentes,patrimonio_liquido,capital_investido,despesa_financeira,ebitda,ebit,nopat,divida_ebitda,roic_pct,roe_pct,roa_pct,custo_implicito_divida_pct,selic_meta_pct,ipca_acum_12m_pct,juros_real_pct,cambio_brl_usd,spread_roic_selic,regime_selic,choque_periodo,dado_revisado
AMBEV,Ambev S.A.,ABEV3,Bebidas,2011-03-31,2011,1,2011-Q1,,,,,,,,,,,,,,,11.75,6.3,5.45,1.6673,,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2011-06-30,2011,2,2011-Q2,,,,,,,,,,,,,,,12.25,6.71,5.54,1.5962,,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2011-09-30,2011,3,2011-Q3,,,,,,,,,,,,,,,12.0,7.31,4.69,1.6357,,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2011-12-31,2011,4,2011-Q4,,,,,,,,,,,,,,,11.0,6.5,4.5,1.8012,,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2012-03-31,2012,1,2012-Q1,,,,,,,,,,,,,,,9.75,5.24,4.51,1.7701,,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2012-06-30,2012,2,2012-Q2,,,,,,,,,,,,,,,8.5,4.92,3.58,1.9641,,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2012-09-30,2012,3,2012-Q3,,,,,,,,,,,,,,,7.5,5.28,2.22,2.0288,,Selic_Baixa_4a8pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2012-12-31,2012,4,2012-Q4,,,,,,,,,,,,,,,7.25,5.84,1.41,2.0576,,Selic_Baixa_4a8pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2013-06-30,2013,2,2013-Q2,984691.0,-7989629.0,8974320.0,0.0,984691.0,600156.0,5517531.0,5411598.0,3571654.68,0.18,362.72,,234.86,60.95,8.0,6.7,1.3,2.0673,354.72,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2013-09-30,2013,3,2013-Q3,1011940.0,-7962380.0,8974320.0,0.0,1011940.0,1150867.0,8834417.0,8680534.0,5729152.44,0.11,566.16,,,113.73,9.0,5.86,3.14,2.288,557.16,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2014-03-31,2014,1,2014-Q1,824569.0,-10713672.0,11538241.0,0.0,824569.0,400527.0,3161018.0,3112439.0,2054209.74,0.26,249.13,,,48.57,10.75,6.15,4.6,2.3652,238.38,Selic_Mod_8a13pct,Periodo_Normal,False
AMBEV,Ambev S.A.,ABEV3,Bebidas,2014-06-30,2014,2,2014-Q2,719237.0,-10819004.0,11538241.0,0.0,719237.0,794136.0,5888603.0,5814225.0,3837388.5,0.12,533.54,,,110.41,11.0,6.52,4.48,2.2296,522.54,Selic_Mod_8a13pct,Periodo_Normal,False
